City,Name,Category,Address,Distance (meters),Google_Rating,Reviews,Latitude,Longitude
Delhi,Gulati Restaurant,Hyderabadi Restaurant,"6 Pandara Road Market, New Delhi, Dl, New Delhi 110003, Delhi",4885,0,0,28.6078499,77.2300673
Delhi,Perch,Wine Bar,"71 Khan Market, New Delhi 110003, Delhi",5796,4.4,1789,28.5589805,77.16418
Delhi,Indian Accent,Indian Restaurant,"The Lodhi, Lodhi Road, New Delhi 110003, Delhi",6689,0,0,28.5917587,77.2379033
Delhi,Lazeez Affaire,Indian Restaurant,"6/48, Malcha Marg, Chanakyapuri Shopping Comp-Lex, New Delhi 110021, Delhi",7085,4.2,4258,28.6021801,77.1861058
Delhi,The Big Chill Cafe,Italian Restaurant,"Hs-5 (Kailash Colony Market), New Delhi 110024, Delhi",11072,4.5,9409,28.5997717,77.2261395
Delhi,The Big Chill,Restaurant,"Dlf Place Saket, Ground .And, 2nd Floor, District Centre, Sector 6, Pushp Vihar, Saket (Saket), New Delhi 110017, Delhi",13816,4.5,9409,28.5999121,77.2265009
Delhi,Daryaganj,North Indian Restaurant,"New Delhi 110037, Delhi",15521,0,0,28.64609,77.243048
Delhi,Gulati Restaurant,Hyderabadi Restaurant,"6 Pandara Road Market, New Delhi, Dl, New Delhi 110003, Delhi",4885,0,0,28.6078499,77.2300673
Delhi,Perch,Wine Bar,"71 Khan Market, New Delhi 110003, Delhi",5796,4.4,1789,28.5589805,77.16418
Delhi,Indian Accent,Indian Restaurant,"The Lodhi, Lodhi Road, New Delhi 110003, Delhi",6689,0,0,28.5917587,77.2379033
Delhi,Lazeez Affaire,Indian Restaurant,"6/48, Malcha Marg, Chanakyapuri Shopping Comp-Lex, New Delhi 110021, Delhi",7085,4.2,4258,28.6021801,77.1861058
Delhi,The Big Chill Cafe,Italian Restaurant,"Hs-5 (Kailash Colony Market), New Delhi 110024, Delhi",11072,4.5,9409,28.5997717,77.2261395
Delhi,The Big Chill,Restaurant,"Dlf Place Saket, Ground .And, 2nd Floor, District Centre, Sector 6, Pushp Vihar, Saket (Saket), New Delhi 110017, Delhi",13816,4.5,9409,28.5999121,77.2265009
